gene,category,base_mean_count,dispersion_alpha,deseq2_base_mean,de_log2_fc,de_pvalue,fdr,disease_sex_log2_fc,disease_sex_pvalue,disease_sex_fdr,mean_count,de_significant,neg_log10_fdr,lightgbm_gain,gain_rank,nonzero_gain
G256,noise,51.03278827261536,0.276357206898481,47.768070599160936,0.016531516421821584,0.8454701844674201,0.9411255703013252,-0.2527712840807026,0.13517010901828222,0.7854205743087944,51.4625,False,0.0263524266783281,0.0,167,False
G257,noise,64.90705718872488,0.23865980664986006,60.94170219055403,-0.026669535532962328,0.7370017824132007,0.8905696636826905,0.36636269277189343,0.02011319109643285,0.6134523284412019,66.0125,False,0.050332102736797536,0.0,168,False
G258,noise,31.85295402616825,0.38254836247232216,29.262142710550002,0.05394836102228364,0.6171014458359105,0.8795137428969753,0.10201715364552308,0.636423775924198,0.949730333487275,31.940625,False,0.05575737005792281,0.0,169,False
G259,noise,47.50122981094701,0.28946877872045923,46.11776450669587,0.06637620864267975,0.459370547559117,0.8340294915545284,0.15651150710670733,0.3826843940930508,0.8732866983346651,50.31875,False,0.0788185922963813,0.0,170,False
G260,noise,40.59814125035156,0.3216850260336011,36.52869879945511,-0.1516534311660683,0.1406379599682614,0.5533767687996212,0.03200905408853509,0.8764640866024465,0.9915857195058293,39.79375,False,0.25697907684289034,0.0,171,False
G261,noise,36.93559421148926,0.3436673943423507,34.036123046938556,0.03930153617935706,0.7078947766546551,0.8905696636826905,-0.3104089182408149,0.13799982127638186,0.7854205743087944,37.071875,False,0.050332102736797536,0.0,172,False
G262,noise,29.738218434078558,0.4026408599409047,27.44440976749603,-0.16289392571265487,0.11788410908473167,0.5145890840645981,0.31671428865950785,0.12744108658368938,0.7854205743087944,29.88125,False,0.2885394306806506,2.3135299682617188,43,True
G263,noise,75.67646907000685,0.2189273245779249,69.56095597639016,-0.0038198580008660054,0.9618932058212393,0.9811954106203277,-0.023013177011709286,0.8855999952595314,0.9915857195058293,75.6875,False,0.008244491801697902,0.0,173,False
G264,noise,44.205072136935954,0.30359654593754115,41.30064113327709,-0.18693893366368408,0.045273990725810925,0.32877540884219836,-0.0005468180535588003,0.9976645118416818,0.9976645118416818,45.01875,False,0.4831006735028248,0.0,174,False
G265,noise,23.81230175249158,0.47795590252245534,21.947871714121256,-0.05505418685747982,0.6350861361925991,0.8844806919577294,-0.15256544830223853,0.510710482211584,0.8914526937116752,23.80625,False,0.05331164321524099,0.0,175,False
G266,noise,46.574441841399235,0.2932390307681595,43.33208891071293,0.13253670591187666,0.13959099734184952,0.5533767687996212,0.020136803547888153,0.9106740455640071,0.9919842282036505,46.990625,False,0.25697907684289034,0.0,176,False
G267,noise,24.43333520112008,0.4683492215007724,20.130045778976935,0.018447895418778365,0.8759162963664906,0.9507276526397851,-0.021322061969841214,0.9281263573278768,0.9976645118416818,22.071875,False,0.021943874119682676,0.0,177,False
G268,noise,51.67128318462675,0.2741779852426363,47.94143226231037,-0.107281005566171,0.19653210946305366,0.6587065207278172,0.1327639729851325,0.42395716626666013,0.883901435600926,51.4375,False,0.18130803732956266,0.0,164,False
G269,noise,70.48657628983413,0.2276838864040275,65.6640256103152,-0.09877129174889622,0.2340703616844697,0.693598312976098,-0.04901469402217336,0.7678564550421612,0.9696851575762189,70.15625,False,0.15889197185546566,0.0,147,False
G270,noise,17.523665317970558,0.6135911829342278,16.18904211347558,0.04910006711725201,0.7215486983818167,0.8905696636826905,-0.05234680110373846,0.8493802628689514,0.9915857195058293,17.46875,False,0.050332102736797536,0.0,133,False
G271,noise,93.24164310546996,0.1965233955585669,85.74017144305719,-0.038324537874148225,0.6145725865516566,0.8795137428969753,0.27352042871508986,0.0711137142071719,0.7442666145038506,92.85,False,0.05575737005792281,0.0,146,False
G272,noise,46.72881816602337,0.2926006338962778,42.6239270633521,-0.1062607805693417,0.2510031226912349,0.714971959482244,-0.15835817511333566,0.3920225207994137,0.8732866983346651,46.178125,False,0.14571099047993993,0.0,119,False
G273,noise,56.345792452497456,0.2597279869226702,49.8065530546513,-0.20544987931876355,0.01872168958185644,0.17303379765049134,0.0018554525501784916,0.9915327844798724,0.9976645118416818,53.209375,False,0.7618690604577905,0.0,120,False
G274,noise,52.13662196510096,0.2726233818145025,48.72538743990695,-0.06429803129813412,0.43400677626664197,0.8340294915545284,0.03790145245695726,0.817694972604023,0.9795069746063828,53.221875,False,0.0788185922963813,0.0,121,False
G275,noise,40.32282148269879,0.3231986668854908,38.4845052028128,4.842619279835002e-05,0.9995797681138836,0.9995797681138836,0.18951400451921746,0.3021794921607499,0.8455481202663185,41.646875,False,0.00018254274708850613,0.0,122,False
G276,noise,22.96929194490242,0.4918274895712391,20.550321559935295,-0.13504191482389116,0.26904416568660683,0.714971959482244,-0.1028551336623098,0.6738533614666182,0.949730333487275,22.434375,False,0.14571099047993993,0.0,123,False
G277,noise,44.98713195844875,0.3000572076546828,41.913639297212995,0.07785329602460371,0.3706246763906734,0.7756877897153301,-0.01680778084634101,0.9230377048998233,0.9976645118416818,45.725,False,0.1103130448340036,0.0,124,False
G278,noise,72.54232568791873,0.2240655012732638,68.0844649379541,-0.1095530297185249,0.15858809879572344,0.5773697733274,-0.14745041118628757,0.34229240806033845,0.8697234645092794,73.021875,False,0.23854595620301647,0.0,125,False
G279,noise,95.99600904279565,0.19375389758117695,93.91469388621888,-0.02307177623221035,0.7562542389961208,0.8905696636826905,0.24329698336799419,0.10050778131348237,0.7854205743087944,102.1375,False,0.050332102736797536,0.0,126,False
G280,noise,28.343619397660298,0.4175317828584352,24.5919473916752,0.03763734786548659,0.7178015574380794,0.8905696636826905,0.3069778391762408,0.139498172074836,0.7854205743087944,26.790625,False,0.050332102736797536,0.0,127,False
G281,noise,43.89747383044852,0.3050231873196618,40.48291795448692,-0.06267285531982798,0.5017983004553651,0.8455994142356438,-0.13362084333895943,0.4738340637112073,0.8914526937116752,43.69375,False,0.07283532654537438,0.0,128,False
G282,noise,98.0940062285067,0.19174872498361217,86.42532681109728,-0.0008499231033088519,0.9909467405039932,0.9974876430815774,-0.011158149233451278,0.9406470890136489,0.9976645118416818,93.659375,False,0.0010924756660007032,0.0,129,False
G283,noise,42.45292606039742,0.31199952123902547,41.007965124114904,-0.20137054832787132,0.03201922270672205,0.25699639277763753,0.06737089629057086,0.7198763456752548,0.9696851575762189,44.315625,False,0.5900729724187499,0.0,130,False
G284,noise,52.9535511410877,0.2699602728440383,49.91409382809503,-0.06946180924820886,0.42802597466204895,0.8315154284835983,-0.020513315653693596,0.9068685289250003,0.9915857195058293,54.60625,False,0.08012968818453689,0.0,131,False
G285,noise,20.49346052769533,0.5391644831207104,18.736967505259287,0.03202237198916551,0.8107106521140544,0.9260926924898373,-0.44593924739196106,0.09429689197086705,0.7854205743087944,20.06875,False,0.03334554266776069,1.630660057067871,50,True
G286,noise,18.06461778972899,0.5982114819565756,16.21043518072317,-0.1855821613441367,0.15417273724813388,0.5773697733274,0.040985522815039824,0.8750087082874451,0.9915857195058293,17.709375,False,0.23854595620301647,0.0,118,False
G287,noise,70.17303188488091,0.228254398566739,61.62819087975764,-0.09693232077275549,0.21921224441249265,0.6822421892429618,0.0692649339920771,0.6607046256569953,0.949730333487275,66.521875,False,0.16606142771830626,0.0,132,False
G288,noise,98.3189694960478,0.1915387950680441,90.71724964171985,-0.027031985725159042,0.7023764634789624,0.8905696636826905,-0.2881667955126947,0.04050890406720148,0.7442666145038506,98.35,False,0.050332102736797536,0.0,134,False
G289,noise,37.282948089580124,0.341397219403777,35.856934319490094,-0.10644675409466538,0.25984405948333555,0.714971959482244,-0.13353732663385648,0.47956005830523285,0.8914526937116752,39.103125,False,0.14571099047993993,0.0,135,False
G290,noise,54.95345109633394,0.2637749735539432,51.599418998367504,0.10836844301495428,0.18652576790657271,0.6539121748448813,0.03726335071769728,0.8203981108001568,0.9795069746063828,56.225,False,0.18448057666273304,1.1771399974822998,55,True
G291,noise,50.634192491399496,0.2777455027356998,46.76222403651185,-0.04030361136313551,0.6792865531565508,0.8905696636826905,-0.09914396529507845,0.6110897276886214,0.949730333487275,51.25625,False,0.050332102736797536,2.3874900341033936,42,True
G292,noise,53.98692717451595,0.266707024663711,48.19865066577891,-0.100160823281293,0.2305471603406818,0.693598312976098,-0.07790566394412438,0.6410465979415985,0.949730333487275,51.8375,False,0.15889197185546566,0.0,136,False
